timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1744696187231,488,HTTP Request,200,OK,Thread Group 1-13,text,true,,52598,129,37,37,https://www.automationexercise.com/,457,0,155
1744696187720,404,HTTP Request,200,OK,Thread Group 1-13,text,true,,52598,129,57,57,https://www.automationexercise.com/,315,0,0
1744696187111,1075,HTTP Request,200,OK,Thread Group 1-7,text,true,,52598,129,59,59,https://www.automationexercise.com/,1030,0,210
1744696187072,1125,HTTP Request,200,OK,Thread Group 1-5,text,true,,52605,129,60,60,https://www.automationexercise.com/,1082,0,259
1744696187170,1103,HTTP Request,200,OK,Thread Group 1-10,text,true,,52598,129,64,64,https://www.automationexercise.com/,1085,0,161
1744696187150,1144,HTTP Request,200,OK,Thread Group 1-9,text,true,,52598,129,65,65,https://www.automationexercise.com/,1118,0,167
1744696187043,1316,HTTP Request,200,OK,Thread Group 1-3,text,true,,52598,129,68,68,https://www.automationexercise.com/,1301,0,315
1744696187004,1381,HTTP Request,200,OK,Thread Group 1-1,text,true,,52598,129,69,69,https://www.automationexercise.com/,1357,0,331
1744696187091,1326,HTTP Request,200,OK,Thread Group 1-6,text,true,,52598,129,71,71,https://www.automationexercise.com/,1130,0,214
1744696187057,1408,HTTP Request,200,OK,Thread Group 1-4,text,true,,52598,129,73,73,https://www.automationexercise.com/,1370,0,301
1744696187011,1467,HTTP Request,200,OK,Thread Group 1-2,text,true,,52598,129,74,74,https://www.automationexercise.com/,1429,0,348
1744696187194,1316,HTTP Request,200,OK,Thread Group 1-11,text,true,,52598,129,76,76,https://www.automationexercise.com/,1276,0,177
1744696187589,970,HTTP Request,200,OK,Thread Group 1-31,text,true,,52598,129,78,78,https://www.automationexercise.com/,954,0,264
1744696187710,884,HTTP Request,200,OK,Thread Group 1-37,text,true,,52598,129,80,80,https://www.automationexercise.com/,863,0,197
1744696187131,1475,HTTP Request,200,OK,Thread Group 1-8,text,true,,52598,129,80,80,https://www.automationexercise.com/,1056,0,198
1744696187773,904,HTTP Request,200,OK,Thread Group 1-40,text,true,,52598,129,84,84,https://www.automationexercise.com/,857,0,167
1744696187630,1050,HTTP Request,200,OK,Thread Group 1-33,text,true,,52598,129,84,84,https://www.automationexercise.com/,1004,0,250
1744696187290,1421,HTTP Request,200,OK,Thread Group 1-16,text,true,,52606,129,85,85,https://www.automationexercise.com/,1392,0,214
1744696187209,1508,HTTP Request,200,OK,Thread Group 1-12,text,true,,52598,129,86,86,https://www.automationexercise.com/,1301,0,165
1744696187792,977,HTTP Request,200,OK,Thread Group 1-41,text,true,,52606,129,88,88,https://www.automationexercise.com/,959,0,173
1744696187270,1584,HTTP Request,200,OK,Thread Group 1-15,text,true,,52598,129,92,92,https://www.automationexercise.com/,1553,0,232
1744696187331,1565,HTTP Request,200,OK,Thread Group 1-18,text,true,,52598,129,94,94,https://www.automationexercise.com/,1518,0,205
1744696187390,1524,HTTP Request,200,OK,Thread Group 1-21,text,true,,52598,129,96,96,https://www.automationexercise.com/,1480,0,164
1744696187875,1183,HTTP Request,200,OK,Thread Group 1-45,text,true,,52598,129,99,99,https://www.automationexercise.com/,1157,0,183
1744696187430,1659,HTTP Request,200,OK,Thread Group 1-23,text,true,,52598,129,99,99,https://www.automationexercise.com/,1624,0,185
